WNBA 2025 Draft Prospect Data Info and Stats are Stopped April 14th (WNBA Draft Day)(Like Age),,,,,,,,,,,,,,,
Player Name,College/Country,Height,Position,GP,MP,PPG,APG,RPG,SPG,BPG,FG%,3-FG%,FT%,National Champion?,Overall Points
Maddy Westbeld,Notre Dame=2 Points,6'3,Forward,21,22.6,7.6,0.9,2.8,1,1,47.2%,30.8%,76.9%,No,15 Points
Madison Conner,TCU= 1 Point,5'11,Guard,38,32.8,14.4,3.6,4,0.9,0.2,44.6%,44.9%,81.9%,No,4 Points
Kaitlyn Chen,UCONN= 3 Points,5'9,Guard,40,23.4,6.9,3.4,1.8,1.2,0,51.4%,35.4%,84.2%,Yes,22 Points
Dominique Malonga,France= 0.5 Point,6'6,Forward/Center,2,17,8.5,1.5,6.5,1,2,53.3%,50%,0%,No,null
Ajsa Sivka,Slovenia= 0.5 Point,6'4,Forward,7,27.5,9.9,2.9,7.4,0.9,0.6,41.8%,34.5%,60%,No,null
Aicha Coulibaly,Texas A&M= 1 Point,6'0,Guard,19,28.4,12.8,2.1,5,0.8,1.1,47.9%,21.2%,67.1%,No,6 Points
Megan McConnell,Duquesne= 1 Point,5'7,Guard,34,36.8,18.4,5,7.2,4.1,0.3,46.9%,33%,62.5%,No,18 Points
Taylor Jones,Texas= 2 Points,6'4,Forward,38,21.8,11.9,0.4,6.9,0.8,1.9,58.3%,0%,77.4%,No,5 Points
Rayah Marshall,USC= 2 Points,6'4,Center/Forward,33,24.5,7.9,2.4,8.4,1.2,2.1,48%,50%,75.4%,No,7 Points
Annika Soltau,Germany= 0.5 Point,6'4,Forward,6,17.7,13.8,1,4.5,0.8,1.8,43.9%,21.1%,87.5%,No,null
Marine Dursus,France= 0.5 Point,5'10,Guard,7,20.9,12.1,1.4,3.7,1.6,0,54.7%,52.2%,83.3%,No,null
Kiki Iriafen,USC= 2 Points,6'3,Forward,35,30.3,18,1.8,8.4,0.9,0.6,49%,28.6%,81.1%,No,27 Points
Zaay Green,Alabama= 1 Point,6'2,Guard,33,31.6,15.7,4.5,5,1,0.7,46.7%,36.1%,65.4%,No,6 Points
Serena Sundell,Kansas State= 1 Point,6'1,Guard,36,33.2,14.1,7.3,4.4,1.1,0.9,50.1%,32%,78.7%,No,16 Points
Lucy Olsen,Iowa= 1 Point,5'10,Guard,32,34,17.9,5.1,3.6,1.3,0.3,43.6%,36%,74.4%,No,16 Points
Aaronette Vonleh,Baylor= 3 Points,6'3,Center,36,24.6,14.9,0.7,5.8,0.8,0.8,58.5%,14.3%,65.5%,No,13 Points
Harmoni Turner,Harvard= 1 Point,5'10,Guard,29,32.7,22.5,3.4,5.4,2.8,0.3,43.5%,35.6%,81.2%,No,27 Points
